Datetime,Open,High,Low,Close,Volume
2018-01-01 00:00:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:01:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:02:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:03:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:04:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:05:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:06:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:07:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:08:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:09:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:10:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:11:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:12:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:13:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:14:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:15:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:16:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:17:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:18:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:19:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:20:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:21:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:22:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:23:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:24:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:25:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:26:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:27:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:28:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:29:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:30:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:31:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:32:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:33:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:34:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:35:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:36:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:37:00,0.98063,0.98063,0.98063,0.98063,0.0
2018-01-01 00:38:00,0.98063,0.98063,0.98063,0.98063,0.0
